sedaadmin,sedaadminname,subject,grade,year,fips,stateabb,multi_comp,cs_mn_all,cs_mn_se_all,cs_mn_se_adj_all,tot_asmt_all,flag_estasmt_all,cs_mn_asn,cs_mn_se_asn,cs_mn_se_adj_asn,tot_asmt_asn,flag_estasmt_asn,cs_mn_blk,cs_mn_se_blk,cs_mn_se_adj_blk,tot_asmt_blk,flag_estasmt_blk,cs_mn_ecd,cs_mn_se_ecd,cs_mn_se_adj_ecd,tot_asmt_ecd,flag_estasmt_ecd,cs_mn_fem,cs_mn_se_fem,cs_mn_se_adj_fem,tot_asmt_fem,flag_estasmt_fem,cs_mn_hsp,cs_mn_se_hsp,cs_mn_se_adj_hsp,tot_asmt_hsp,flag_estasmt_hsp,cs_mn_mal,cs_mn_se_mal,cs_mn_se_adj_mal,tot_asmt_mal,flag_estasmt_mal,cs_mn_nam,cs_mn_se_nam,cs_mn_se_adj_nam,tot_asmt_nam,flag_estasmt_nam,cs_mn_nec,cs_mn_se_nec,cs_mn_se_adj_nec,tot_asmt_nec,flag_estasmt_nec,cs_mn_wht,cs_mn_se_wht,cs_mn_se_adj_wht,tot_asmt_wht,flag_estasmt_wht
103360,Tuscaloosa City,mth,6,2009,1,AL,0,-.8392770046873985,.0458639186893702,.0523825130861737,747,0,,,,,0,-1.116068529383432,.0460602170672431,.0533845297643231,580,0,-1.148379267501263,.0504486730480264,.0573210405288126,501,0,-.7186827073835798,.0603766752523104,.0652750174061816,368,0,,,,,0,-.9548139751051428,.067907800290805,.0726842572409998,379,0,,,,,,-.1289437928548267,.0894811586193137,.092772756020382,246,0,.5058377818384748,.1570528850615205,.1595123993561494,143,0
103360,Tuscaloosa City,mth,6,2010,1,AL,0,-.7469350514261304,.0421989728464914,.0459835662934241,749,0,,,,,0,-1.022684381872481,.0434991806164085,.0475729242568204,555,0,-1.021929179323083,.0450213481233289,.0489672413043429,531,0,,,,,,,,,,0,,,,,,,,,,,.019610134420823,.0942026301289588,.0959385527104147,218,0,.1886095536520079,.1162950542020468,.1177758127195115,158,0
103360,Tuscaloosa City,mth,6,2011,1,AL,0,-.4801861531321761,.0399634266613957,.0476665805427706,765,0,,,,,0,-.7442851426485519,.0410849471000922,.0490024752747222,564,0,-.777566420709118,.0428119705038833,.0505188622208621,512,0,-.4426122570421455,.0532304015046557,.0592083096354731,409,0,,,,,0,-.5295376429483777,.0602172983671667,.065611076306678,356,0,,,,,0,.2093032593091422,.0862400114520431,.0903767079515495,253,0,.4116105439961115,.1112000638367338,.1147107811950675,172,0
103360,Tuscaloosa City,mth,6,2012,1,AL,0,-.4283074994913064,.0380160379266423,.0420836213885618,776,0,,,,,0,-.649070304603199,.0377551279388096,.0420027490181654,585,0,-.6183192290272629,.0406671302615055,.0446137800398369,557,0,-.3545110574546512,.0526035971990503,.0556006866938468,370,0,,,,,0,-.4900351704968275,.0545864147036761,.0575137857467444,406,0,,,,,,.1511666364851685,.0914753937994464,.093360033208341,219,0,.4760608618820196,.1460330741241261,.1473821869792439,158,0
103360,Tuscaloosa City,mth,6,2013,1,AL,0,-.2648792878116127,.0409674748448748,.0480165430389627,744,0,,,,,,-.4883429223902288,.0420077709633081,.0490068752384966,534,0,-.5422657624481785,.0433056121388344,.0501873628470185,501,0,-.153111429568821,.0631173620003623,.0679342281826005,354,0,,,,,0,-.3627245335400137,.0537288676201033,.0592883642942673,390,0,,,,,,.4049933463134718,.0994169176689209,.1031108269665191,243,0,.5609116590252683,.142096040100287,.1448812349618282,182,0
103360,Tuscaloosa City,mth,6,2014,1,AL,0,-.3649210414900075,.0442825355006981,.0473236716594059,753,0,,,,,0,-.712774720451111,.042984227444453,.0462946214061296,516,0,-.7776998917257925,.0427232376302931,.0461178929966416,514,0,-.3012436359631731,.058860438149101,.0611789215932692,356,0,-.5142867113321918,.1949393725122198,.195663346613,27,0,-.4362887481086278,.0662081793932136,.0682842953180274,397,0,,,,,,.6041664090519353,.0803741871069356,.0826647904221475,239,0,.7623804216813114,.0899640941989664,.0921998960227532,183,0
103360,Tuscaloosa City,mth,6,2015,1,AL,0,-.3735136250300949,.0417421288571944,.0472130133257746,735,0,,,,,0,-.6898728879622509,.0417520326234188,.0474430746664603,473,0,-.7225477784361267,.0488382630235216,.0538297248987199,343,0,-.2413604522653442,.0551343662429218,.0594025539287817,348,0,-.7488037993051634,.1934464978165089,.1947875403874882,27,0,-.4968901782944672,.0621213124018846,.0659462794599315,387,0,,,,,,-.0163271474266922,.0649034978133656,.0686971530366419,392,0,.5336042757759577,.0941503230290595,.0974475909162603,206,0
103360,Tuscaloosa City,mth,6,2016,1,AL,0,-.4553370903966411,.0406841402217737,.0438340746820902,689,0,,,,,0,-.7507875378277955,.0388546381560299,.0423202618608056,497,0,,,,,,-.3173477224883474,.055505561908341,.0578427538819822,342,0,-.569516206379619,.2209317950978814,.2215369241835118,22,0,-.6029848534485195,.0586373409679606,.0609064632720111,347,0,,,,,,,,,,,.6339787080251448,.1215139628301926,.122952695014451,152,0
103360,Tuscaloosa City,mth,6,2017,1,AL,0,-.4132371979011476,.0428708507835516,.0491160757768219,749,0,,,,,0,-.8135535589654513,.0413008846902376,.0482330626687343,496,0,-.785062886627226,.0400878315709955,.047141655704154,554,0,-.3257643619936851,.0568615670372268,.0616933952498608,334,0,-.4557873666954059,.1823213215645906,.1838921530774329,34,0,-.4892883999474889,.0631489765061179,.0675710195415407,415,0,,,,,0,.778065351449085,.1000256410192191,.1039302603892864,195,0,.6677024753752293,.1015501999828027,.1051966188988804,198,0
103360,Tuscaloosa City,mth,6,2018,1,AL,0,-.3018807560670393,.0501772355000304,.053112281601159,746,0,,,,,0,-.7559052793313037,.047430836052007,.0507098258889316,512,0,-.8183868022660801,.0559030781062771,.0587555468426697,363,0,-.1816369550637086,.0680868031765737,.070291931695888,391,0,-.4655494297167074,.211585464784247,.2123001494261248,26,0,-.4426997054742367,.0737553609689443,.0757868863761512,355,0,,,,,,.2772976716940198,.0816619632797157,.0837213180475793,383,0,1.200348909108004,.1617790683483253,.1634571389735976,187,0
